T,MSD
7.82,95.1148
7.825,95.1902
7.83,95.2656
7.835,95.3411
7.84,95.4168
7.845,95.4925
7.85,95.5684
7.855,95.6443
7.86,95.7203
7.865,95.7963
7.87,95.8725
7.875,95.9486
7.88,96.0248
7.885,96.101
7.89,96.1773
7.895,96.2536
7.9,96.3301
7.905,96.4066
7.91,96.4832
7.915,96.56
7.92,96.6368
7.925,96.7138
7.93,96.7909
7.935,96.8681
7.94,96.9453
7.945,97.0227
7.95,97.1002
7.955,97.1777
7.96,97.2552
7.965,97.3329
7.97,97.4106
7.975,97.4883
7.98,97.566
7.985,97.6439
7.99,97.7217
7.995,97.7996
8,97.8775
8.005,97.9554
8.01,98.0332
8.015,98.111
8.02,98.1888
8.025,98.2665
8.03,98.3441
8.035,98.4216
8.04,98.4991
8.045,98.5766
8.05,98.6541
8.055,98.7315
8.06,98.8089
8.065,98.8863
8.07,98.9637
8.075,99.041
8.08,99.1182
8.085,99.1953
8.09,99.2723
8.095,99.3491
8.1,99.4259
8.105,99.5025
8.11,99.5789
8.115,99.6553
8.12,99.7315
8.125,99.8075
8.13,99.8834
8.135,99.9593
8.14,100.035
8.145,100.111
8.15,100.186
8.155,100.261
8.16,100.337
8.165,100.412
8.17,100.487
8.175,100.562
8.18,100.637
8.185,100.713
8.19,100.788
8.195,100.863
8.2,100.938
8.205,101.013
8.21,101.088
8.215,101.163
8.22,101.239
8.225,101.314
8.23,101.389
8.235,101.464
8.24,101.54
8.245,101.615
8.25,101.69
8.255,101.766
8.26,101.841
8.265,101.916
8.27,101.992
8.275,102.067
8.28,102.143
8.285,102.218
8.29,102.294
8.295,102.369
8.3,102.445
8.305,102.52
8.31,102.595
8.315,102.671
8.32,102.746
8.325,102.822
8.33,102.897
8.335,102.972
8.34,103.047
8.345,103.122
8.35,103.197
8.355,103.272
8.36,103.347
8.365,103.422
8.37,103.496
8.375,103.571
8.38,103.646
8.385,103.721
8.39,103.795
8.395,103.87
8.4,103.945
8.405,104.019
8.41,104.094
8.415,104.168
8.42,104.243
8.425,104.317
8.43,104.391
8.435,104.466
8.44,104.54
8.445,104.614
8.45,104.689
8.455,104.763
8.46,104.837
8.465,104.911
8.47,104.985
8.475,105.059
8.48,105.133
8.485,105.207
8.49,105.28
8.495,105.354
8.5,105.427
8.505,105.501
8.51,105.574
8.515,105.647
8.52,105.72
8.525,105.792
8.53,105.865
8.535,105.937
8.54,106.01
8.545,106.082
8.55,106.154
8.555,106.227
8.56,106.299
8.565,106.371
8.57,106.443
8.575,106.514
8.58,106.586
8.585,106.657
8.59,106.729
8.595,106.8
8.6,106.871
8.605,106.942
8.61,107.013
8.615,107.084
8.62,107.154
8.625,107.225
8.63,107.295
8.635,107.366
8.64,107.436
8.645,107.507
8.65,107.577
8.655,107.648
8.66,107.718
8.665,107.789
8.67,107.86
8.675,107.931
8.68,108.001
8.685,108.072
8.69,108.143
8.695,108.215
8.7,108.286
8.705,108.357
8.71,108.429
8.715,108.5
8.72,108.572
8.725,108.643
8.73,108.714
8.735,108.786
8.74,108.857
8.745,108.929
8.75,109
8.755,109.072
8.76,109.143
8.765,109.215
8.77,109.287
8.775,109.358
8.78,109.43
8.785,109.502
8.79,109.573
8.795,109.645
8.8,109.717
8.805,109.789
8.81,109.86
8.815,109.932
8.82,110.004
8.825,110.076
8.83,110.148
8.835,110.22
8.84,110.292
8.845,110.364
8.85,110.437
8.855,110.509
8.86,110.582
8.865,110.654
8.87,110.727
8.875,110.8
8.88,110.873
8.885,110.947
8.89,111.02
8.895,111.093
8.9,111.167
8.905,111.24
8.91,111.314
8.915,111.388
8.92,111.462
8.925,111.536
8.93,111.61
8.935,111.684
8.94,111.758
8.945,111.832
8.95,111.906
8.955,111.98
8.96,112.054
8.965,112.127
8.97,112.201
8.975,112.275
8.98,112.348
8.985,112.422
8.99,112.495
8.995,112.568
9,112.641
9.005,112.714
9.01,112.786
9.015,112.859
9.02,112.931
9.025,113.003
9.03,113.076
9.035,113.148
9.04,113.22
9.045,113.292
9.05,113.364
9.055,113.435
9.06,113.507
9.065,113.579
9.07,113.651
9.075,113.723
9.08,113.794
9.085,113.866
9.09,113.938
9.095,114.009
9.1,114.081
9.105,114.152
9.11,114.223
9.115,114.295
9.12,114.366
9.125,114.437
9.13,114.508
9.135,114.579
9.14,114.65
9.145,114.721
9.15,114.792
9.155,114.863
9.16,114.934
9.165,115.005
9.17,115.077
9.175,115.148
9.18,115.22
9.185,115.291
9.19,115.363
9.195,115.435
9.2,115.507
9.205,115.579
9.21,115.651
9.215,115.723
9.22,115.795
9.225,115.867
9.23,115.939
9.235,116.012
9.24,116.084
9.245,116.157
9.25,116.23
9.255,116.302
9.26,116.375
9.265,116.448
9.27,116.52
9.275,116.593
9.28,116.666
9.285,116.739
9.29,116.812
9.295,116.885
9.3,116.958
9.305,117.031
9.31,117.104
9.315,117.177
9.32,117.251
9.325,117.324
9.33,117.397
9.335,117.471
9.34,117.544
9.345,117.618
9.35,117.691
9.355,117.765
9.36,117.839
9.365,117.912
9.37,117.986
9.375,118.06
9.38,118.133
9.385,118.207
9.39,118.281
9.395,118.354
9.4,118.427
9.405,118.501
9.41,118.574
9.415,118.647
9.42,118.72
9.425,118.793
9.43,118.866
9.435,118.939
9.44,119.012
9.445,119.085
9.45,119.158
9.455,119.231
9.46,119.305
9.465,119.378
9.47,119.451
9.475,119.524
9.48,119.598
9.485,119.671
9.49,119.745
9.495,119.818
9.5,119.892
9.505,119.965
9.51,120.039
9.515,120.112
9.52,120.185
9.525,120.258
9.53,120.331
9.535,120.404
9.54,120.477
9.545,120.55
9.55,120.623
9.555,120.696
9.56,120.769
9.565,120.842
9.57,120.914
9.575,120.987
9.58,121.06
9.585,121.132
9.59,121.205
9.595,121.278
9.6,121.35
9.605,121.423
9.61,121.496
9.615,121.568
9.62,121.641
9.625,121.713
9.63,121.785
9.635,121.858
9.64,121.93
9.645,122.002
9.65,122.074
9.655,122.146
9.66,122.218
9.665,122.29
9.67,122.361
9.675,122.433
9.68,122.505
9.685,122.577
9.69,122.649
9.695,122.72
9.7,122.792
9.705,122.864
9.71,122.936
9.715,123.008
9.72,123.079
9.725,123.151
9.73,123.223
9.735,123.295
9.74,123.367
9.745,123.439
9.75,123.51
9.755,123.582
9.76,123.653
9.765,123.724
9.77,123.795
9.775,123.866
9.78,123.937
9.785,124.007
9.79,124.078
9.795,124.148
9.8,124.218
9.805,124.288
9.81,124.358
9.815,124.428
9.82,124.498
9.825,124.568
9.83,124.639
9.835,124.709
9.84,124.779
9.845,124.849
9.85,124.92
9.855,124.99
9.86,125.061
9.865,125.131
9.87,125.201
9.875,125.272
9.88,125.343
9.885,125.413
9.89,125.484
9.895,125.554
9.9,125.625
9.905,125.696
9.91,125.767
9.915,125.838
9.92,125.909
9.925,125.98
9.93,126.051
9.935,126.122
9.94,126.194
9.945,126.265
9.95,126.336
9.955,126.408
9.96,126.479
9.965,126.551
9.97,126.622
9.975,126.694
9.98,126.765
9.985,126.837
9.99,126.908
9.995,126.979
10,127.05
