T,MSD
1.54,8.57058
1.545,8.61829
1.55,8.66608
1.555,8.71397
1.56,8.76195
1.565,8.81004
1.57,8.85823
1.575,8.90652
1.58,8.95491
1.585,9.00339
1.59,9.05196
1.595,9.10061
1.6,9.14932
1.605,9.19811
1.61,9.24696
1.615,9.2959
1.62,9.34493
1.625,9.39405
1.63,9.44328
1.635,9.49262
1.64,9.54206
1.645,9.59163
1.65,9.64131
1.655,9.69112
1.66,9.74104
1.665,9.79109
1.67,9.84126
1.675,9.89153
1.68,9.94189
1.685,9.99234
1.69,10.0429
1.695,10.0935
1.7,10.1441
1.705,10.1948
1.71,10.2456
1.715,10.2964
1.72,10.3473
1.725,10.3982
1.73,10.4492
1.735,10.5003
1.74,10.5514
1.745,10.6026
1.75,10.6539
1.755,10.7053
1.76,10.7568
1.765,10.8083
1.77,10.86
1.775,10.9118
1.78,10.9636
1.785,11.0155
1.79,11.0675
1.795,11.1195
1.8,11.1715
1.805,11.2236
1.81,11.2757
1.815,11.3279
1.82,11.3801
1.825,11.4324
1.83,11.4847
1.835,11.5372
1.84,11.5896
1.845,11.6422
1.85,11.6948
1.855,11.7475
1.86,11.8003
1.865,11.8531
1.87,11.906
1.875,11.959
1.88,12.012
1.885,12.0651
1.89,12.1184
1.895,12.1717
1.9,12.2251
1.905,12.2785
1.91,12.3321
1.915,12.3857
1.92,12.4394
1.925,12.4931
1.93,12.5469
1.935,12.6007
1.94,12.6546
1.945,12.7085
1.95,12.7626
1.955,12.8166
1.96,12.8708
1.965,12.925
1.97,12.9792
1.975,13.0336
1.98,13.088
1.985,13.1426
1.99,13.1972
1.995,13.2519
2,13.3067
2.005,13.3616
2.01,13.4167
2.015,13.4718
2.02,13.527
2.025,13.5824
2.03,13.6378
2.035,13.6934
2.04,13.7491
2.045,13.8049
2.05,13.8608
2.055,13.9169
2.06,13.973
2.065,14.0293
2.07,14.0857
2.075,14.1422
2.08,14.1987
2.085,14.2553
2.09,14.312
2.095,14.3688
2.1,14.4256
2.105,14.4825
2.11,14.5395
2.115,14.5966
2.12,14.6537
2.125,14.7109
2.13,14.7683
2.135,14.8257
2.14,14.8832
2.145,14.9408
2.15,14.9984
2.155,15.0561
2.16,15.1139
2.165,15.1717
2.17,15.2296
2.175,15.2876
2.18,15.3457
2.185,15.4038
2.19,15.4621
2.195,15.5204
2.2,15.5789
2.205,15.6374
2.21,15.6961
2.215,15.7548
2.22,15.8137
2.225,15.8727
2.23,15.9318
2.235,15.991
2.24,16.0502
2.245,16.1096
2.25,16.169
2.255,16.2284
2.26,16.2879
2.265,16.3475
2.27,16.4072
2.275,16.467
2.28,16.5269
2.285,16.5869
2.29,16.6469
2.295,16.7071
2.3,16.7674
2.305,16.8277
2.31,16.8881
2.315,16.9486
2.32,17.0091
2.325,17.0696
2.33,17.1302
2.335,17.1908
2.34,17.2515
2.345,17.3122
2.35,17.373
2.355,17.4338
2.36,17.4946
2.365,17.5554
2.37,17.6162
2.375,17.6771
2.38,17.7379
2.385,17.7988
2.39,17.8596
2.395,17.9204
